127.0.0.1 - - [03/Jun/2020:21:18:45 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:18:48 +0900] "GET /20201damin/01_BasicJSP/ex01.jsp HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:20:11 +0900] "GET /20201damin/01_BasicJSP/ex02.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:21:15 +0900] "GET /20201damin/01_BasicJSP/ex03.jsp HTTP/1.1" 500 2219
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:21:26 +0900] "GET /20201damin/01_BasicJSP/ex03.jsp HTTP/1.1" 500 2219
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:23:03 +0900] "GET /20201damin/01_BasicJSP/ex03.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:24:20 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:26:59 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:27:36 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:27:54 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:29:35 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:30:06 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:31:09 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:35:19 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 4013
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:35:51 +0900] "GET /20201damin/01_BasicJSP/ex04_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 4175
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:37:03 +0900] "GET /20201damin/01_BasicJSP/ex05.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:38:15 +0900] "GET /20201damin/01_BasicJSP/ex05.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:39:02 +0900] "GET /20201damin/01_BasicJSP/ex06_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:40:14 +0900] "GET /20201damin/01_BasicJSP/ex06_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:41:38 +0900] "GET /20201damin/01_BasicJSP/ex06_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:42:20 +0900] "GET /20201damin/01_BasicJSP/ex06_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [03/Jun/2020:21:42:47 +0900] "GET /20201damin/01_BasicJSP/ex06_%EB%AC%B8%EC%A0%9C.jsp HTTP/1.1" 200 473
